id,x,y
52167,-1.79917,2.84688
52282,-1.62359,3.15025
52482,-2.43358,3.06976
52784,-1.77564,1.78844
52908,-2.61228,2.28535
53191,-1.30917,3.36961
53236,-0.594915,4.52518
53528,-0.952911,2.9966
53664,-1.06834,2.58229
53937,-0.327128,1.56875
54022,-0.318179,0.581183
54318,0.289074,0.777457
54404,1.81673,1.20172
54683,1.8402,0.941231
54826,2.61661,0.497432
55188,1.99891,-0.551756
55247,1.54433,-2.19891
55588,1.41423,-2.50671
55706,0.870378,-2.10749
55963,0.569472,-1.86131
56175,2.44703,-0.917076
56222,3.74512,-0.343876
56425,2.42211,-0.0740249
56782,2.20631,-2.51875
56964,1.70139,-4.09427
57027,1.87411,-4.93534
57298,3.10724,-3.83471
57490,4.12343,-2.42512
57690,4.5715,-1.96855
57974,4.99352,-0.934644
58085,4.99157,-2.02725
58226,4.90624,-2.92391
58583,3.40179,-3.22866
58772,4.12991,-4.9761
58928,3.47406,-4.78942
59199,4.16816,-4.84743
59214,4.42694,-3.37469
59491,3.29503,-3.40458
59606,3.601,-2.98603
59882,3.91645,-2.99084
60181,4.0865,-4.3374
60395,3.75719,-4.24775
60451,4.33864,-3.81974
60700,4.67637,-3.18914
60997,3.94666,-2.78107
61129,3.79428,-3.21482
61346,3.55725,-3.51394
61406,4.28046,-3.70505
61780,3.9334,-4.18142
61959,2.9858,-4.18209
62185,3.82878,-3.94905
62361,3.68907,-3.828
62554,3.51446,-2.23784
62750,2.01977,-2.45912
62837,0.572041,-0.825946
63092,-0.90737,-2.56381
63288,-0.125494,-2.81864
63580,-0.0607129,-3.82329
63684,-1.50207,-4.29017
63802,-1.2368,-4.86175
64063,-1.35094,-4.17847
64282,-2.61519,-3.76565
64471,-3.32598,-2.97284
64672,-2.64688,-2.67001
64881,-3.18149,-2.5997
65172,-4.49914,-3.4032
65320,-3.832,-3.88144
65444,-4.28654,-2.36949
65720,-3.86253,-3.41044
65829,-4.08535,-3.43372
66160,-2.74723,-4.1872
66236,-1.13667,-4.59465
66506,-2.59494,-4.25726
66761,-0.99918,-4.24782
66997,-0.46867,-4.15811
67031,-2.20886,-2.92942
67289,-1.30292,-2.11137
67563,-0.421617,-2.21261
67750,-1.26396,-2.25783
67864,0.557976,-2.34232
68012,0.916879,-1.94598
68381,0.439647,-1.66884
68487,-0.239431,-2.04275
68616,-1.04032,-1.98691
68837,1.8874,-3.23494
69022,1.52201,-2.68305
69296,2.08436,-3.60451
69434,2.04259,-4.46525
69780,3.26532,-4.25399
69965,2.92234,-4.81211
70030,2.78795,-2.93476
70222,1.96411,-3.30437
70489,2.09081,-3.4218
70611,2.45842,-4.72963
70996,1.03739,-4.87392
71123,0.645195,-3.79869
71285,1.1185,-3.34361
71537,1.00954,-3.09123
71714,0.797063,-4.74352
71956,0.592281,-4.69803
72179,1.1591,-3.91334
72232,2.25526,-3.71091
72585,-0.171471,-4.88011
72749,1.52048,-4.9833
72939,1.62215,-4.58096
73029,0.432206,-2.21357
73378,1.35216,-1.62203
73482,1.88424,-1.84475
73618,1.88355,-2.06437
73987,0.224214,-2.18944
74114,0.356092,-1.78132
74236,-0.831732,-3.50424
74573,-1.53744,-3.24032
74637,-1.9108,-3.48537
74812,-1.72677,-3.71674
75198,-2.68923,-2.25198
75395,-3.09036,-2.75078
75479,-1.12815,-2.84073
75783,-1.31356,-4.10966
75916,-0.80317,-3.61868
76060,0.042689,-4.89699
76374,1.75278,-4.12273
76582,2.70525,-4.60531
76616,1.2625,-4.38516
76870,1.95964,-4.24409
77155,0.44534,-3.35042
77280,-1.28281,-2.97941
77490,-1.48109,-2.39667
77625,-1.72346,-2.20115
77968,-1.27457,-0.915809
78165,-1.89688,-1.23901
